wallet_address,status,transaction_signature,timestamp,batch_number
FmTTpg3yaZwsYCta2TG7ksLwLC3BJHQDP9xQVauVD3To,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
9qLCzf5uEK3mamuoAyS5DqQUDhSf8KeZ4wocxNdFdrjb,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
EXJQaU7rtnB5QXS6XFMeHtkgciFAMKyedZAioR58KWjG,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
C25SPpHy9Pvjv9bZafHmvsiwcyz2gZzjzQkvjBpBYn7Q,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
BMcpQ6osuXcha4AZLL2mr7QDC8JN62ZEbzzsCE6byYzp,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
DSJe4BxVkPK1PrqjGK9WkA2P4LFaSpi7yRPZ8A9vc5Fx,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
FZxws5VwbaL9RDVjSfCV9MwQyesUoHgwgP7Rv2R5cPf9,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
9TYGenKuGnioFzPNWoR9YCXtYZvy1g9km8yXyzJBcLFt,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
A7MHYjsKHpcEasGmGpxzfEuPXU9CMwP6xn88JxtAS7J3,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
92aof2T54VVe9hYNytNPPcmMCRt9revoSmx53N8r7U8N,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
7s2V2X7ZjqY2rD9rZudhSaXruAjh9Kv9Wy1jGDuZgLkC,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
4ewvKqY2JoSjKiKUG2qkRe48bWvMNosTAsFiXwgU7DiR,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
6vYDNHxKKe1FRFmVM17Rcjc9oiEQ1FZnokZeaxfo8SmK,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
4rNcDVHBsR2APw1YFvbtZ1AHkb8VUsrHn5sNU7eCsADa,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
qjHx6hn9RuMV6LyRfyXFseFjZ7ex7xjMj54imTAssHC,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
12e7UfYqj6nuXWoC1Rr1PfNFtUU27E96ahLvrCUBc4aF,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
81RyfJpxYTkAd3YHjVsrpReoRaRQu7cq6eiUS4ftY72g,success,5uRhomFUBoiEWJ27FjsHJ6rNKQguU9oxWv9zVhzYfA1RAinygL65SkoNMbiSW1cdygVc22Es3NVBmbUPWqJWGPjc,2025-03-27T06:14:38.916Z,1
